signature,beneficiary,mint,amount
4hNK6rPnqDd5rpmw94joKLRvgsE8ymJiGZQ9udnEySwFjxqKY13yuE89cAUUM4hrzi6kMyJR49mBNzHAnGdrXUpN,5BaCSGVeyme3LP4GY9Wkr8iMtrNZMbrXa5FsuX6gnFKe,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,0.002200000000000202
3avGwaWUQGdqSrdoDowfW9vqmBherDaqmjhSmWBn3TKRxK831kx98w3wrX1h8dt2VPML8fp5KXUDsuWQ79vtfbcQ,CeoGoucJbwjno6KC1BiX4efKGqQyBjRzqgyhLYwJfgfr,So11111111111111111111111111111111111111112,0.0036072250000001027
2qnAzwkHHhQxD6538D8xcTU2bx8oBf8YwAm85tpH6xHaUEQPn4B3bZy2axG568S26MozFjpfTXNivBeVDg5BgcPn,rightnGF4tk4NaN9Me3gGhFc5MpAsciJJf3V1wbRQJc,So11111111111111111111111111111111111111112,1.698499999999714e-05
oXYLd7tYNtyyAQKtmdLjFbKU8G9g9MYJSeLkYzxQ6hbNtC4mEGnMJvK5UfES9LPPG4gHmkZqDRq8zkzy3YaoM1M,CbNMHuRaj6DHDzrEn9qDzJC2yo69rb6sntXGpzjhaCs,So11111111111111111111111111111111111111112,0.00022521099999998906
4eTv4XjP9pD6SZ3irzNoEKDFsxay35TZxejZkCkVrfz7dUXNd3uiMHzoRztptW9u8U9JCnWwwT16ctbpcho3nGLr,idea1kYJnzQ1cLJD6FRU3mRbUDJxPoYRWDuHTzhY2Ns,So11111111111111111111111111111111111111112,4.020100000001747e-05
qNngG5G2JJ5JpsKFEQfosySsQPWrh4JmJfA6fa6gBZCL7sKrtBzsoyZe5xAcaghdFTimau8DPWkUp7knjtMBjnw,Gn96hdr1mboNUMuPEg2DBmJNvwxJf8Z51hGahVNdkSxT,So11111111111111111111111111111111111111112,4.081400000000013e-05
3ScgSCpnecARif7VuVj9DiV2E8o6Y2PW9Dqt4EdUqLEDarFMyPpDGUbzRwWw9CZtnwUZn52MbeRof4nqBEqJzzu2,Guicyahx7sR8baUHcsEEpzsNm1BYbPy8qbvvtCeW1B2G,So11111111111111111111111111111111111111112,6.000000000000363e-06
2pLWd1nH9c61WntAFJ2NLW83sAmtEYwWBRZGpDrWVLawFLseiqrxaCB1XxxkvS6kCbYgfQBzVvW9dWZdNKPFh9zY,HvFdDWS3RqymRAVx1ZdoL2RjiC38r5dtt19Z8op5jqDK,So11111111111111111111111111111111111111112,0.007428035999999971
4g6rRxQdksjmie92o2rB1gcXENTky5hMxG96ZWTERYbtsT6HqyiFz4JG4rYbxRxidTqrgjREjcuyvJZ7DbiCxKcq,8VUPc3zJTqSbqYf26GtciL2DByb2kWA1W7s1N9Uyhsuk,So11111111111111111111111111111111111111112,0.00015963399999999184
2zhbfg8UA4thY2duTCCvz7bvdaBY5iSxPiMuWfoqVUF5t7keLEEQgGFzHKHXtKJ1Y7W1KA7F7Xk1rLsW95tj51T9,2Rf9qzW9rhCnJmEbErrHDDZfeEXtemYdLkyJ1TE12pa7,8x5VqbHA8D7NkD52uNuS5nnt3PwA8pLD34ymskeSo2Wn,0.11532899999997426
5UpT2o9qY9Z9RzJoA9Wf3bDCDdCuuaV3WhB1WrrSN8t66tMTzCx9txVfX2PstWsBSWkCMJBVQ7bCcnojqxKefHa7,HzuK5PCN6gi8gaKHZwRMhXS4sJiHyUFM3dtBHXLykVQU,So11111111111111111111111111111111111111112,0.00031231100000006506
4jdiSzU71re3h1X8wgnuxccGcbWkw1tHf8TrLfFwn6qf7VX4337ejuvzWXwJqq7iBrJNhHe61aV5L2b5WaYrxofh,MACXffmQJER8MtAzrK8KtnWhqwCrNEUMXKR2Pzgqjs7,So11111111111111111111111111111111111111112,2.72369999999994e-05
rBYQWPYgEMYUtbtUCZGJ5qKBaiwRLLVCqZQuVhnQGK7LaTszrXR6FXxGy1qncoiif7TM9iQgTfpSehdduaLk4ce,eatyCwmyfVuZ7XiDcZxpnRTe5YEvJSefaKwKKd6hatT,So11111111111111111111111111111111111111112,1.4868999999998952e-05
